City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
317,Ngunguru,-35.6167,174.5,73.17,81,100,9.08,NZ,2021-12-06 22:39:52,overcast clouds
318,Walvis Bay,-22.9575,14.5053,60.1,88,0,8.05,NA,2021-12-06 22:33:23,clear sky
319,Quatre Cocos,-20.2078,57.7625,78.1,71,11,11.21,MU,2021-12-06 22:33:07,few clouds
320,Belmonte,-15.8631,-38.8828,79.3,83,68,7.27,BR,2021-12-06 22:39:52,broken clouds
321,Jhargram,22.45,86.9833,65.73,95,0,6.44,IN,2021-12-06 22:39:53,clear sky
322,Moreira Sales,-24.0622,-53.0069,75.07,52,30,9.33,BR,2021-12-06 22:39:53,scattered clouds
323,Blagoyevo,63.3667,47.9167,10.33,93,80,7.56,RU,2021-12-06 22:39:53,broken clouds
324,Hastings,50.8552,0.5729,40.51,81,51,20.54,GB,2021-12-06 22:39:54,broken clouds
325,Nanortalik,60.1432,-45.2371,24.39,65,55,40.38,GL,2021-12-06 22:32:39,broken clouds
326,Waipawa,-41.4122,175.5153,56.44,97,100,1.48,NZ,2021-12-06 22:33:50,overcast clouds
327,Andra,62.5147,65.8878,-19.55,98,74,2.48,RU,2021-12-06 22:39:54,broken clouds
328,Swan Hill,-35.3378,143.5544,70.77,39,3,12.68,AU,2021-12-06 22:39:54,clear sky
329,Trincomalee,8.5711,81.2335,80.44,72,20,7.2,LK,2021-12-06 22:39:55,few clouds
330,Vao,-22.6667,167.4833,78.1,78,0,5.99,NC,2021-12-06 22:39:55,clear sky
331,Celestun,20.8667,-90.4,79.02,80,9,12.08,MX,2021-12-06 22:39:55,clear sky
332,Cravo Norte,6.3017,-70.2041,82.9,57,43,5.79,CO,2021-12-06 22:39:56,scattered clouds
333,Tomohon,1.3346,124.8392,67.14,89,97,3.0,ID,2021-12-06 22:39:56,light rain
334,Kloulklubed,7.0419,134.2556,79.3,77,100,16.82,PW,2021-12-06 22:39:56,overcast clouds
335,Srednekolymsk,67.45,153.6833,-31.02,95,98,2.35,RU,2021-12-06 22:39:56,overcast clouds
336,Tezu,27.9167,96.1667,64.09,80,89,1.01,IN,2021-12-06 22:39:57,overcast clouds
337,Chapleau,47.8405,-83.4034,8.69,78,90,12.66,CA,2021-12-06 22:39:57,light snow
338,Sola,-13.8833,167.55,76.33,87,100,6.51,VU,2021-12-06 22:33:37,moderate rain
339,Usinsk,65.9939,57.5281,10.44,95,100,14.67,RU,2021-12-06 22:34:15,light snow
340,Ahtopol,42.1,27.95,55.87,82,100,20.33,BG,2021-12-06 22:39:58,overcast clouds
341,Nizhniy Odes,63.6445,54.856,-2.43,98,89,5.21,RU,2021-12-06 22:39:58,overcast clouds
342,Avera,33.194,-82.5271,70.48,71,100,10.11,US,2021-12-06 22:33:10,moderate rain
343,Vallenar,-28.5708,-70.7581,74.12,37,29,6.06,CL,2021-12-06 22:39:58,scattered clouds
344,Kamenka,51.3223,42.7678,26.74,78,100,12.5,RU,2021-12-06 22:39:59,overcast clouds
345,Roros,62.5747,11.3842,4.84,78,90,9.22,NO,2021-12-06 22:39:59,light shower snow
346,Bambous Virieux,-20.3428,57.7575,78.22,78,20,8.05,MU,2021-12-06 22:32:36,few clouds
347,Rawson,-43.3002,-65.1023,85.37,23,1,24.34,AR,2021-12-06 22:36:33,clear sky
348,Salym,60.0625,71.4789,-12.82,99,91,4.32,RU,2021-12-06 22:39:59,overcast clouds
349,Semme,46.1963,1.5007,45.01,96,93,8.03,FR,2021-12-06 22:40:00,overcast clouds
350,Codrington,-38.2667,141.9667,59.45,52,85,15.35,AU,2021-12-06 22:32:35,overcast clouds
351,Upington,-28.4478,21.2561,68.38,45,1,1.14,ZA,2021-12-06 22:40:00,clear sky
352,Muyezerskiy,63.9333,31.65,1.33,99,49,4.25,RU,2021-12-06 22:40:01,scattered clouds
353,Phan Thiet,10.9333,108.1,69.93,86,97,4.88,VN,2021-12-06 22:40:01,overcast clouds
354,Vlist,51.98,4.8194,42.03,94,100,5.01,NL,2021-12-06 22:40:01,overcast clouds
355,Port Blair,11.6667,92.75,77.67,68,78,13.11,IN,2021-12-06 22:32:45,broken clouds
356,Tazovskiy,67.4667,78.7,-6.0,96,100,12.95,RU,2021-12-06 22:40:02,overcast clouds
357,Wellington,-41.2866,174.7756,61.77,97,90,14.97,NZ,2021-12-06 22:35:43,moderate rain
358,Falmouth,50.1544,-5.0711,45.5,75,20,8.05,GB,2021-12-06 22:40:02,few clouds
359,Lalsot,26.5667,76.3333,61.47,57,0,6.08,IN,2021-12-06 22:40:02,clear sky
360,Mildura,-34.2,142.15,65.07,52,5,13.8,AU,2021-12-06 22:40:03,clear sky
361,Zlitan,32.4674,14.5687,53.04,69,35,35.57,LY,2021-12-06 22:40:03,scattered clouds
362,The Valley,18.217,-63.0578,81.1,69,20,12.66,AI,2021-12-06 22:40:03,few clouds
363,Vardo,70.3705,31.1107,11.95,81,97,14.5,NO,2021-12-06 22:31:43,overcast clouds
364,Januaria,-15.4833,-44.3667,73.15,88,39,2.15,BR,2021-12-06 22:40:04,moderate rain
365,Gallup,35.5281,-108.7426,57.96,22,1,3.0,US,2021-12-06 22:40:04,clear sky
366,Oussouye,12.485,-16.5469,73.49,71,25,4.88,SN,2021-12-06 22:33:51,scattered clouds
367,Kavaratti,10.5669,72.642,80.04,67,8,11.88,IN,2021-12-06 22:33:21,clear sky
368,Kuznechnoye,61.12,29.8686,11.68,95,100,2.42,RU,2021-12-06 22:40:05,snow
369,Deputatskiy,69.3,139.9,-22.81,99,100,1.3,RU,2021-12-06 22:33:07,overcast clouds
370,Saint-Augustin,51.226,-58.6502,23.85,67,100,11.05,CA,2021-12-06 22:34:26,overcast clouds
371,Aksarka,66.5606,67.7975,9.03,83,100,11.63,RU,2021-12-06 22:40:05,overcast clouds
372,Sambava,-14.2667,50.1667,75.07,85,18,7.49,MG,2021-12-06 22:33:24,few clouds
373,Saldanha,-33.0117,17.9442,57.25,86,11,13.53,ZA,2021-12-06 22:32:54,few clouds
374,Saint Anthony,45.0205,-93.218,8.55,58,1,4.0,US,2021-12-06 22:40:06,clear sky
375,Floro,61.5996,5.0328,37.36,52,90,16.11,NO,2021-12-06 22:40:06,overcast clouds
376,Sorland,67.667,12.6934,26.47,63,3,14.5,NO,2021-12-06 22:34:19,clear sky
377,Huilong,31.8111,121.655,51.04,78,0,8.63,CN,2021-12-06 22:40:06,clear sky
378,Byron Bay,-28.65,153.6167,78.06,71,99,1.59,AU,2021-12-06 22:40:07,light rain
379,Ranong,9.9658,98.6348,71.53,89,70,5.7,TH,2021-12-06 22:40:07,broken clouds
380,Khash,28.2211,61.2158,49.15,45,0,3.87,IR,2021-12-06 22:37:49,clear sky
381,Namtsy,62.7161,129.6658,-32.69,100,100,1.61,RU,2021-12-06 22:40:08,overcast clouds
382,Dingle,10.9995,122.6711,75.31,88,97,5.93,PH,2021-12-06 22:32:59,overcast clouds
383,Morant Bay,17.8815,-76.4093,85.62,81,8,11.77,JM,2021-12-06 22:31:27,clear sky
384,Rey Bouba,8.6724,14.1786,78.62,24,100,2.35,CM,2021-12-06 22:40:08,overcast clouds
385,Teguldet,57.3064,88.1667,24.73,95,100,9.1,RU,2021-12-06 22:40:08,light snow
386,Verkhnyaya Tishanka,51.3239,40.5328,31.95,89,97,11.79,RU,2021-12-06 22:40:09,overcast clouds
387,Marawi,7.9986,124.2928,66.65,98,100,3.56,PH,2021-12-06 22:34:04,overcast clouds
388,Kushima,31.4583,131.2333,47.71,73,0,4.97,JP,2021-12-06 22:40:09,clear sky
389,Sungairaya,0.7,108.9,77.09,89,99,4.92,ID,2021-12-06 22:40:09,overcast clouds
390,Pirawa,24.1551,76.0273,60.94,65,0,6.62,IN,2021-12-06 22:40:10,clear sky
391,Asau,46.4333,26.4,34.75,87,53,3.6,RO,2021-12-06 22:34:29,broken clouds
392,Berlevag,70.8578,29.0864,26.6,79,40,17.27,NO,2021-12-06 22:32:28,scattered clouds
393,Nelson Bay,-32.7167,152.15,67.1,95,100,1.01,AU,2021-12-06 22:40:10,light rain
394,Vila Velha,-20.3297,-40.2925,71.55,96,75,6.91,BR,2021-12-06 22:30:17,broken clouds
395,Jingdezhen,29.2947,117.2079,43.34,60,3,4.41,CN,2021-12-06 22:40:11,clear sky
396,Merauke,-8.4667,140.3333,82.09,72,100,4.76,ID,2021-12-06 22:40:11,overcast clouds
397,San Jose,37.3394,-121.895,61.57,78,90,0.0,US,2021-12-06 22:37:43,mist
398,Murici,-9.3067,-35.9433,79.09,80,2,7.2,BR,2021-12-06 22:36:50,clear sky
399,Matagami,49.7502,-77.6328,15.91,92,90,9.22,CA,2021-12-06 22:40:12,light snow
400,Huarmey,-10.0681,-78.1522,68.49,83,95,8.34,PE,2021-12-06 22:38:37,overcast clouds
401,Yuzhno-Kurilsk,44.0306,145.8556,41.94,69,1,5.12,RU,2021-12-06 22:40:12,clear sky
402,Aklavik,68.2191,-135.0107,16.52,78,75,6.91,CA,2021-12-06 22:33:26,broken clouds
403,North Myrtle Beach,33.816,-78.68,69.01,86,1,12.66,US,2021-12-06 22:40:12,clear sky
404,La Orilla,17.9833,-102.2333,81.91,68,24,7.92,MX,2021-12-06 22:40:13,few clouds
405,Lago Da Pedra,-4.3333,-45.1667,78.85,83,50,2.33,BR,2021-12-06 22:40:13,heavy intensity rain
406,Santa Barbara,34.7333,-120.0343,65.43,59,1,8.05,US,2021-12-06 22:40:13,clear sky
407,Salalah,17.0151,54.0924,77.09,31,0,10.36,OM,2021-12-06 22:34:14,clear sky
408,Kodinsk,58.6881,99.1844,25.03,97,100,3.91,RU,2021-12-06 22:32:09,overcast clouds
409,Sarana,56.4773,57.7259,3.02,91,47,4.72,RU,2021-12-06 22:40:14,scattered clouds
410,Tessalit,20.1986,1.0114,68.41,18,92,8.59,ML,2021-12-06 22:40:14,overcast clouds
411,Goderich,43.7501,-81.7165,34.92,75,100,29.93,CA,2021-12-06 22:40:14,light rain
412,Lang Son,21.8333,106.7333,50.85,59,1,2.57,VN,2021-12-06 22:38:42,clear sky
413,Hithadhoo,-0.6,73.0833,81.7,77,42,17.98,MV,2021-12-06 22:29:10,scattered clouds
414,Umkomaas,-30.2067,30.7978,74.61,86,37,8.72,ZA,2021-12-06 22:40:15,scattered clouds
415,Dogondoutchi,13.6393,4.0287,76.24,16,79,9.46,NE,2021-12-06 22:40:15,broken clouds
416,Harare,-17.8294,31.0539,74.8,41,95,5.44,ZW,2021-12-06 22:36:10,overcast clouds
417,Namibe,-15.1961,12.1522,72.07,65,0,4.59,AO,2021-12-06 22:33:12,clear sky
418,Ambunti,-4.2365,142.8448,80.15,87,98,1.59,PG,2021-12-06 22:37:52,overcast clouds
419,Oranjemund,-28.55,16.4333,60.46,87,14,16.02,NA,2021-12-06 22:38:17,few clouds
420,Rundu,-17.9333,19.7667,75.22,48,62,1.81,NA,2021-12-06 22:40:16,broken clouds
421,Ivanovka,42.8878,75.085,30.63,60,97,0.98,KG,2021-12-06 22:40:16,overcast clouds
422,Xocali,39.913,46.7903,46.15,49,2,2.8,AZ,2021-12-06 22:40:17,clear sky
423,Meulaboh,4.1363,96.1285,77.16,87,47,3.67,ID,2021-12-06 22:32:10,scattered clouds
424,Ayan,56.45,138.1667,5.72,63,70,12.24,RU,2021-12-06 22:40:17,broken clouds
425,Tabuk,17.4189,121.4443,69.22,91,100,4.79,PH,2021-12-06 22:40:17,overcast clouds
426,Pandan,14.0453,124.1694,78.33,84,83,17.72,PH,2021-12-06 22:34:15,broken clouds
427,Christchurch,-43.5333,172.6333,56.03,91,75,4.61,NZ,2021-12-06 22:39:49,drizzle
428,Pirogovskiy,55.9781,37.7336,25.29,85,90,13.42,RU,2021-12-06 22:40:18,overcast clouds
429,La Palma,33.8464,-118.0467,78.42,78,75,1.01,US,2021-12-06 22:33:47,haze
430,Springfield,37.2153,-93.2982,39.88,45,1,5.01,US,2021-12-06 22:36:38,clear sky
