City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Bilma,NE,2021-12-01 23:47:49,18.6853,12.9164,68.38,16,4,6.51
97,Beringovskiy,RU,2021-12-01 23:46:33,63.05,179.3167,6.01,88,100,13.98
98,Kapuskasing,CA,2021-12-01 23:49:33,49.4169,-82.4331,19.49,93,90,12.66
99,Bang Saphan,TH,2021-12-01 23:49:33,11.2126,99.5117,80.55,80,81,10.18
100,Plettenberg Bay,ZA,2021-12-01 23:49:34,-34.0527,23.3716,61.48,89,52,7.0
101,Cabo San Lucas,MX,2021-12-01 23:45:57,22.8909,-109.9124,79.95,61,61,7.07
102,Laredo,US,2021-12-01 23:49:34,27.5064,-99.5075,82.69,47,1,3.44
103,Katobu,ID,2021-12-01 23:49:34,-4.9408,122.5276,79.52,89,100,1.39
104,Alofi,NU,2021-12-01 23:49:35,-19.0595,-169.9187,82.29,74,75,12.66
105,Albanel,CA,2021-12-01 23:49:35,48.8832,-72.4487,20.68,67,85,0.0
106,Ayan,RU,2021-12-01 23:47:36,56.45,138.1667,4.51,73,100,16.58
107,Puerto Ayora,EC,2021-12-01 23:49:35,-0.7393,-90.3518,69.98,84,76,10.13
108,Vaini,TO,2021-12-01 23:49:03,-21.2,-175.2,86.16,74,40,11.5
109,Meulaboh,ID,2021-12-01 23:49:36,4.1363,96.1285,74.8,90,63,4.99
110,Tuatapere,NZ,2021-12-01 23:49:36,-46.1333,167.6833,68.83,54,67,5.21
111,Lata,PT,2021-12-01 23:49:36,40.1629,-8.3327,52.81,92,100,6.15
112,Sitka,US,2021-12-01 23:47:01,57.0531,-135.33,39.09,56,90,26.46
113,Lumsden,CA,2021-12-01 23:49:37,50.6501,-104.8678,43.79,76,100,18.66
114,Victoria,HK,2021-12-01 23:46:32,22.2855,114.1577,61.25,47,72,1.99
115,Sao Gabriel,BR,2021-12-01 23:49:37,-30.3364,-54.32,67.82,67,74,14.07
116,Sobolevo,RU,2021-12-01 23:49:38,54.4299,31.8996,20.79,95,100,6.4
117,Barcelona,ES,2021-12-01 23:47:59,41.3888,2.159,52.77,81,40,1.01
118,Jiwani,PK,2021-12-01 23:49:38,25.05,61.7417,74.41,53,0,5.57
119,Mar Del Plata,AR,2021-12-01 23:49:38,-38.0023,-57.5575,63.09,81,0,3.0
120,Tura,IN,2021-12-01 23:49:39,25.5198,90.2201,61.84,68,31,3.71
121,Lompoc,US,2021-12-01 23:47:28,34.6391,-120.4579,77.11,62,1,9.22
122,Parrita,CR,2021-12-01 23:49:39,9.5201,-84.3225,83.97,87,99,1.99
123,Bluff,NZ,2021-12-01 23:49:39,-46.6,168.3333,68.81,71,43,7.63
124,Kapaa,US,2021-12-01 23:46:07,22.0752,-159.319,82.72,73,40,3.0
125,Faanui,PF,2021-12-01 23:49:40,-16.4833,-151.75,77.68,82,100,17.27
126,Mamallapuram,IN,2021-12-01 23:49:40,12.6264,80.1722,79.05,76,78,11.1
127,Bonthe,SL,2021-12-01 23:49:40,7.5264,-12.505,78.26,85,69,4.29
128,San Patricio,US,2021-12-01 23:49:41,28.017,-97.5169,79.48,70,98,6.62
129,Nzega,RW,2021-12-01 23:49:41,-2.479,29.5564,54.52,93,81,4.0
130,Pevek,RU,2021-12-01 23:46:42,69.7008,170.3133,-6.93,93,100,7.56
131,Iquitos,PE,2021-12-01 23:49:41,-3.7481,-73.2472,78.84,83,75,10.36
132,Bambous Virieux,MU,2021-12-01 23:49:42,-20.3428,57.7575,77.25,78,20,6.91
133,Bredasdorp,ZA,2021-12-01 23:49:42,-34.5322,20.0403,55.27,71,99,10.07
134,Souillac,MU,2021-12-01 23:49:42,-20.5167,57.5167,77.38,78,20,6.91
135,Ribeira Grande,PT,2021-12-01 23:49:43,38.5167,-28.7,64.56,80,64,7.07
136,Iqaluit,CA,2021-12-01 23:49:43,63.7506,-68.5145,8.33,78,90,0.0
137,Adrar,MR,2021-12-01 23:49:43,20.5022,-10.0711,69.15,12,100,10.56
138,Muhos,FI,2021-12-01 23:49:44,64.808,25.9931,18.7,100,100,1.14
139,Mizdah,LY,2021-12-01 23:49:44,31.4451,12.9801,48.42,47,18,5.14
140,Okhotsk,RU,2021-12-01 23:49:44,59.3833,143.3,0.23,79,100,26.93
141,Starosubkhangulovo,RU,2021-12-01 23:49:45,53.1031,57.4423,36.64,98,98,6.64
142,Bulungu,CD,2021-12-01 23:49:45,-4.55,18.6,67.6,98,93,0.4
143,Nikolskoye,RU,2021-12-01 23:49:45,59.7035,30.7861,21.09,98,68,3.58
144,Upernavik,GL,2021-12-01 23:49:46,72.7868,-56.1549,26.78,96,100,9.44
145,Tessalit,ML,2021-12-01 23:49:46,20.1986,1.0114,72.57,16,26,11.25
146,Yaan,NG,2021-12-01 23:49:46,7.3833,8.5667,77.77,27,81,4.25
147,Ixtapa,MX,2021-12-01 23:49:47,20.7,-105.2,80.22,86,77,4.0
148,San Juan De Uraba,CO,2021-12-01 23:49:47,8.7592,-76.5297,78.3,86,46,5.5
149,Kahului,US,2021-12-01 23:49:47,20.8947,-156.47,85.26,75,40,21.85
150,Sur,OM,2021-12-01 23:49:48,22.5667,59.5289,72.0,52,0,2.46
151,Cairns,AU,2021-12-01 23:47:33,-16.9167,145.7667,92.1,63,39,10.36
152,Nouadhibou,MR,2021-12-01 23:48:38,20.931,-17.0347,64.38,68,58,19.57
153,Velsk,RU,2021-12-01 23:49:48,61.0701,42.0983,18.95,92,100,9.01
154,Rio Gallegos,AR,2021-12-01 23:49:49,-51.6226,-69.2181,59.05,25,75,19.57
